GENESIS-Tabelle: 21411-0002
BAföG - Geförderte Personen und finanzieller Aufwand:;;;;;;;;;;;;;;;;;;;
Bundesländer, Jahre, Personenkreis;;;;;;;;;;;;;;;;;;;
Statistik der Bundesausbildungsförderung (BAföG);;;;;;;;;;;;;;;;;;;
;;Schüler;Schüler;Schüler;Schüler;Schüler;Schüler;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person
;;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR
Sachsen-Anhalt;2016;9766;6617;3149;6340;32640;429;15215;6209;9006;9980;57995;484;24981;12826;12155;16320;90635;463
Sachsen-Anhalt;2017;9483;6385;3098;6167;32863;444;14686;5791;8895;9837;61207;519;24169;12176;11993;16004;94070;490
Sachsen-Anhalt;2018;9029;6232;2797;5841;30850;440;13581;5714;7867;9142;55848;509;22610;11946;10664;14983;86698;482
Schleswig-Holstein;1991;8329;2883;5446;4545;12547;230;14056;4026;10030;9908;36596;308;22387;6910;15477;14454;49146;283
Schleswig-Holstein;1992;7590;2483;5107;4262;11575;226;14412;3748;10664;10251;37491;305;22004;6232;15772;14515;49072;282
Schleswig-Holstein;1993;6612;2251;4361;3758;10406;231;13743;3612;10131;9823;36707;311;20356;5864;14492;13582;47117;289
Schleswig-Holstein;1994;5900;2302;3598;3349;9512;237;12550;3369;9181;8962;33210;309;18451;5672;12779;12312;42725;289
Schleswig-Holstein;1995;5289;2379;2910;3055;9104;248;11354;3319;8035;7944;29887;314;16643;5698;10945;11000;38992;295
Schleswig-Holstein;1996;5035;2213;2822;2910;8794;252;10155;3053;7102;6752;26815;331;15190;5266;9924;9662;35609;307
Schleswig-Holstein;1997;4715;1881;2834;2793;8103;242;8514;2487;6027;5649;22272;329;13230;4369;8861;8443;30376;300
Schleswig-Holstein;1998;4567;1859;2708;2727;7915;242;7995;2331;5664;5262;20914;331;12563;4191;8372;7989;28832;301
Schleswig-Holstein;1999;4757;1983;2774;2783;8095;242;8160;2399;5761;5303;21504;338;12918;4383;8535;8086;29601;305
Schleswig-Holstein;2000;4883;1920;2963;2838;8227;242;8500;2363;6137;5546;22685;341;13385;4285;9100;8385;30919;307
Schleswig-Holstein;2001;5891;3350;2541;3315;11408;287;9916;2292;7624;6327;28811;379;15808;5643;10165;9643;40221;348
Schleswig-Holstein;2002;6964;3948;3016;4123;14920;302;11403;3690;7713;7348;33856;384;18367;7638;10729;11471;48778;354
Schleswig-Holstein;2003;7725;4446;3279;4623;16927;305;12357;4184;8173;8073;37331;385;20082;8630;11452;12696;54259;356
Schleswig-Holstein;2004;8416;5034;3382;5019;18213;302;12436;4839;7597;8284;38260;385;20852;9873;10979;13303;56473;354
Schleswig-Holstein;2005;8906;5075;3831;5357;19361;301;12309;4307;8002;8398;39088;388;21219;9385;11834;13756;58454;354
Schleswig-Holstein;2006;9192;5308;3884;5574;20019;299;12651;4409;8242;8658;40199;387;21849;9723;12126;14235;60237;353
Schleswig-Holstein;2007;9276;5507;3769;5675;20305;298;12922;4638;8284;8590;39840;386;22200;10147;12053;14266;60149;351
Schleswig-Holstein;2008;9659;5982;3677;5741;21653;314;13551;5224;8327;8746;43183;411;23210;11206;12004;14487;64836;373
Schleswig-Holstein;2009;10270;6264;4006;6182;24737;333;14809;5677;9132;9686;51857;446;25081;11943;13138;15869;76599;402
Schleswig-Holstein;2010;10977;6740;4237;6558;26709;339;16130;6206;9924;10428;56287;450;27108;12947;14161;16986;83001;407
Schleswig-Holstein;2011;11667;7121;4546;7088;30206;355;17535;6492;11043;11360;63128;463;29202;13613;15589;18448;93334;422
Schleswig-Holstein;2012;11939;7185;4754;7228;30886;356;18009;6568;11441;11838;64974;457;29948;13753;16195;19066;95860;419
Schleswig-Holstein;2013;11914;7198;4716;7193;30853;357;17994;6566;11428;11675;63988;457;29908;13764;16144;18868;94842;419
Schleswig-Holstein;2014;11499;7057;4442;7064;30454;359;17889;6526;11363;11567;63337;456;29388;13583;15805;18631;93791;420
Schleswig-Holstein;2015;11183;6881;4302;18870;95536;377;17288;6318;10970;11309;61971;457;28471;13199;15272;18136;92819;427
Schleswig-Holstein;2016;10845;6916;3929;6401;30097;392;16595;6536;10059;10881;61806;473;27440;13452;13988;17282;91902;443
Schleswig-Holstein;2017;10338;6701;3637;6261;30686;408;16176;6407;9769;10722;65546;509;26514;13108;13406;16983;96231;472
Schleswig-Holstein;2018;9785;6345;3440;6024;29737;411;15585;6141;9444;10369;62529;503;25370;12486;12884;16392;92267;469
Thüringen;1991;16908;10015;6893;10982;25903;197;15012;8070;6942;10803;32304;249;31920;18085;13835;21785;58206;223
Thüringen;1992;13237;6439;6798;8754;22713;216;15791;5094;10697;11662;35856;256;29028;11533;17495;20416;58569;239
Thüringen;1993;12295;4101;8194;7537;19614;217;14971;2944;12027;10717;32197;250;27266;7045;20221;18254;51811;237
Thüringen;1994;13128;4514;8614;6690;16350;204;12575;2415;10160;8873;24923;234;25703;6929;18774;15563;41272;221
Thüringen;1995;10382;3855;6527;6184;15534;209;11611;2499;9112;8005;23549;245;21993;6354;15639;14189;39082;230
Thüringen;1996;10026;3681;6345;6152;16020;217;11464;2538;8926;7941;25229;265;21490;6219;15271;14093;41249;244
Thüringen;1997;11057;4023;7034;6617;16901;213;10895;2317;8578;7576;24381;268;21952;6340;15612;14193;41283;242
Thüringen;1998;12257;4358;7899;7598;19128;210;11484;2391;9093;7869;25758;273;23741;6749;16992;15468;44885;242
Thüringen;1999;12842;4843;7999;8225;21046;213;12310;2712;9598;8350;27943;279;25152;7555;17597;16575;48988;246
Thüringen;2000;13328;4936;8392;8442;22157;219;13599;2819;10780;9081;31323;287;26928;7755;19173;17523;53482;254
Thüringen;2001;15540;8757;6783;9390;30329;269;16766;4026;12740;11097;45151;339;32307;12783;19524;20488;75484;307
Thüringen;2002;17025;9171;7854;10950;36978;281;18422;5338;13084;12702;53165;349;35448;14509;20939;23652;90147;318
Thüringen;2003;18674;9828;8846;11984;40388;281;19345;5778;13567;13243;55902;352;38020;15607;22413;25228;96294;318
Thüringen;2004;19449;10335;9114;12602;42786;283;19354;6014;13340;13467;57846;358;38805;16351;22454;26071;100642;322
Thüringen;2005;19972;10843;9129;12943;44436;286;19764;6358;13406;13546;59425;366;39737;17202;22535;26490;103865;327
Thüringen;2006;20074;10874;9200;13100;44732;285;19592;6311;13281;13464;59348;367;39667;17186;22481;26564;104084;327
Thüringen;2007;19602;11109;8493;12892;44237;286;19249;6463;12786;12976;57148;367;38851;17572;21279;25868;101385;327
Thüringen;2008;18757;11497;7260;12449;46989;315;19854;7330;12524;13153;62026;393;38611;18827;19784;25602;109016;355
Thüringen;2009;17621;10693;6928;11637;48190;345;20956;7680;13276;13830;71100;428;38577;18373;20204;25467;119290;390
Thüringen;2010;16285;9927;6358;10557;45513;359;21541;7855;13686;14195;73774;433;37826;17782;20044;24752;119287;402
Thüringen;2011;14725;8943;5782;9687;45530;392;22401;7942;14459;14770;81287;459;37126;16885;20241;24457;126817;432
Thüringen;2012;13374;8000;5374;8695;42137;404;21894;7469;14425;14637;79654;453;35268;15469;19799;23332;121791;435
Thüringen;2013;12183;7286;4897;8132;39834;408;20592;7011;13581;13686;74293;452;32775;14297;18478;21818;114126;436
Thüringen;2014;11121;6472;4649;7356;35796;406;18111;6380;11731;12461;68302;457;29232;12852;16380;19817;104098;438
Thüringen;2015;10133;5809;4324;31850;161209;400;16460;5650;10810;11195;61192;456;26593;11459;15134;17934;93516;435
Thüringen;2016;9540;5690;3850;6187;30435;410;15416;5569;9847;10190;57596;471;24956;11259;13697;16377;88030;448
Thüringen;2017;9168;5338;3830;5912;29768;420;14427;5054;9373;9747;59309;507;23595;10392;13203;15659;89077;474
Thüringen;2018;8528;5029;3499;5648;27694;409;13162;4952;8210;8850;52663;496;21690;9981;11709;14499;80357;462
__________
"Bis einschließlich 2012 wurden Geförderte an
Fernunterrichtsinstituten nicht nach Schüler bzw.
Studierende aufgeschlüsselt und sind nur in der Position
""Insgesamt"" enthalten."
(C)opyright Statistisches Bundesamt (Destatis), 2019
Stand: 04.11.2019 / 17:46:17
